Feature,Datatype,Example Values
Age,int64,"[24, 44, 42]"
Attrition,str,"['Yes', 'No']"
BusinessTravel,str,"['Travel_Rarely', 'Travel_Frequently', 'Non-Travel']"
DailyRate,int64,"[1389, 1125, 1219]"
Department,str,"['Sales', 'Research & Development', 'Human Resources']"
DistanceFromHome,int64,"[19, 19, 9]"
Education,int64,"[2, 2, 1]"
EducationField,str,"['Life Sciences', 'Other', 'Medical']"
EmployeeCount,int64,"[1, 1, 1]"
EmployeeNumber,int64,"[19, 11, 10]"
EnvironmentSatisfaction,int64,"[3, 1, 4]"
Gender,str,"['Female', 'Male']"
HourlyRate,int64,"[96, 93, 31]"
JobInvolvement,int64,"[3, 3, 3]"
JobLevel,int64,"[2, 2, 1]"
JobRole,str,"['Sales Executive', 'Research Scientist', 'Laboratory Technician']"
JobSatisfaction,int64,"[3, 4, 3]"
MaritalStatus,str,"['Single', 'Married', 'Divorced']"
MonthlyIncome,int64,"[2028, 18947, 2086]"
MonthlyRate,int64,"[15170, 17102, 3335]"
NumCompaniesWorked,int64,"[8, 1, 2]"
Over18,str,['Y']
OverTime,str,"['Yes', 'No']"
PercentSalaryHike,int64,"[17, 13, 20]"
PerformanceRating,int64,"[3, 3, 3]"
RelationshipSatisfaction,int64,"[4, 4, 4]"
StandardHours,int64,"[80, 80, 80]"
StockOptionLevel,int64,"[1, 1, 0]"
TotalWorkingYears,int64,"[10, 10, 6]"
TrainingTimesLastYear,int64,"[3, 4, 1]"
WorkLifeBalance,int64,"[3, 1, 3]"
YearsAtCompany,int64,"[1, 6, 6]"
YearsInCurrentRole,int64,"[7, 0, 7]"
YearsSinceLastPromotion,int64,"[2, 0, 4]"
YearsWithCurrManager,int64,"[3, 8, 0]"
